Machine,Time (hrs),Distance (km),Path
3,4.0,0,['3']
6,5.04,4,"['3', '6']"
8,6.13,9,"['6', '8']"
7,7.15,2,"['8', '7']"
10,8.17,2,"['7', '10']"
11,9.25,8,"['10', '7', '8', '11']"
